Student ID,student_name,gender,grade,school_name,reading_score,math_score
84,Natalie Franklin,F,10th,Miller High School,99,78
85,Diana Bush,F,9th,Miller High School,93,93
86,Jennifer Turner,F,11th,Miller High School,91,93
87,Kenneth Franklin,M,9th,Miller High School,96,72
88,Michael Chan,M,12th,Miller High School,97,99
89,Stephen Vargas,M,12th,Miller High School,94,85
90,Tiffany Jackson,F,9th,Miller High School,97,89
91,Douglas Flores,M,10th,Miller High School,98,99
92,Stephanie Branch,F,9th,Miller High School,91,98
93,Daniel Estrada,M,9th,Miller High School,97,76
94,Jeffery Garrison,M,10th,Miller High School,97,88
95,Joshua Larson,M,10th,Miller High School,92,92
96,Zachary Gregory,M,10th,Miller High School,96,90
97,Kristina Hale,F,11th,Miller High School,94,87
98,Walter Rogers,M,12th,Miller High School,91,87
99,Seth Salazar,M,9th,Miller High School,92,87
100,Gabrielle Freeman,F,12th,Miller High School,89,89
101,Michelle Green,F,10th,Miller High School,96,76
102,Anthony Shah,M,12th,Miller High School,89,92
103,Melissa George,F,11th,Miller High School,94,80
104,Ms. Allison Nguyen,F,10th,Miller High School,94,94
105,Paula Stewart,F,11th,Miller High School,96,96
106,Anna Johnson,F,10th,Miller High School,93,95
107,Rachel Cox,F,11th,Miller High School,94,77
108,David Gamble,M,12th,Miller High School,96,93
109,Victoria Harris,F,11th,Miller High School,95,92
110,Heather Higgins,F,12th,Miller High School,99,89
111,Isaac Coffey,M,11th,Miller High School,93,89
112,Jennifer Harris,F,11th,Miller High School,99,71
113,April Diaz,F,11th,Miller High School,92,94
114,Trevor Harmon,M,12th,Miller High School,99,95
115,Russell Pollard,M,9th,Miller High School,98,99
116,Philip Davis,M,10th,Miller High School,89,95
117,Terry Callahan,M,9th,Miller High School,97,94
118,Olivia Brown,F,11th,Miller High School,90,84
119,Erika Kelly,F,10th,Miller High School,91,95
120,John Valdez,M,10th,Miller High School,90,71
121,Molly Chapman,F,11th,Miller High School,96,96
122,Heather Smith,F,12th,Miller High School,89,90
123,Andrea Massey,F,11th,Miller High School,99,81
124,Samantha Howard,F,9th,Miller High School,92,92
125,April Miller,F,10th,Miller High School,89,97
126,Chelsea Lucero,F,12th,Miller High School,90,68
127,Donald Lopez,M,9th,Miller High School,90,86
128,Richard Williams,M,9th,Miller High School,89,74
129,Robert Williams,M,10th,Miller High School,93,71
130,Emily Taylor,F,9th,Miller High School,96,76
131,Walter Morgan,M,11th,Miller High School,97,75
132,Antonio Fleming,M,10th,Miller High School,94,80
133,Kim Blackburn,F,10th,Miller High School,89,98
134,Erica Robertson,F,11th,Miller High School,95,88
135,John Bishop,M,12th,Miller High School,99,77
136,Andrew Bailey,M,9th,Miller High School,93,78
137,Stacy Copeland,F,11th,Miller High School,89,99
138,Matthew Carrillo,M,9th,Miller High School,91,85
139,Sheri Perry,F,11th,Miller High School,98,98
140,Taylor Mills,F,12th,Miller High School,89,69
141,Andrew Wilkinson,M,9th,Miller High School,93,71
142,Willie Taylor,M,12th,Miller High School,95,74
143,Alexander Anderson,M,11th,Miller High School,95,88
144,Lisa Pennington,F,10th,Miller High School,98,69
145,Amber Salinas,F,11th,Miller High School,94,78
146,Jason Velasquez,M,10th,Miller High School,96,95
147,Travis Greene,M,11th,Miller High School,93,92
148,Kimberly Waller,F,9th,Miller High School,92,68
149,Angela Perez,F,10th,Miller High School,98,77
150,Ashley Newman,F,9th,Miller High School,99,74
151,Karen Schmidt,F,11th,Miller High School,91,69
152,Melissa Bailey,F,9th,Miller High School,89,81
153,Russell Mueller,M,9th,Miller High School,94,73
154,Peter Schmidt,M,10th,Miller High School,95,75
155,Charles Scott,M,10th,Miller High School,89,88
156,Nicole Rodriguez,F,11th,Miller High School,93,84
157,Benjamin Mercado,M,10th,Miller High School,95,84
158,Mary Hopkins,F,10th,Miller High School,94,92
159,John Greene,M,10th,Miller High School,95,73
160,Joseph Woods,M,11th,Miller High School,89,75
161,Mike Wise,M,11th,Miller High School,91,79
162,Michael Johnson,M,10th,Miller High School,89,79
163,Thomas Stuart,M,11th,Miller High School,93,69
164,Brenda Mccormick,F,9th,Miller High School,91,77
165,Patricia Hatfield,F,10th,Miller High School,93,90
166,Karen Boyd,F,10th,Miller High School,91,71
167,Amanda Lee,F,11th,Miller High School,92,85
168,Christopher Rojas,M,9th,Miller High School,98,94
169,Samuel Chen,M,10th,Miller High School,91,82
170,Brittany Lewis,F,10th,Miller High School,97,73
171,Blake Martin,M,10th,Miller High School,89,80
172,Lindsay Day,F,12th,Miller High School,98,93
173,Danielle Thomas,F,12th,Miller High School,93,98
174,Aaron Williams,M,11th,Miller High School,92,84
175,Kevin Holt,M,11th,Miller High School,95,79
176,Kevin Garrett,M,12th,Miller High School,97,89
177,Heidi Arnold,F,9th,Miller High School,89,71
178,Gabriela Cruz,F,9th,Miller High School,99,76
179,William Lewis,M,9th,Miller High School,96,97
180,Darren Miller,M,10th,Miller High School,98,94
181,Benjamin Garcia IV,M,12th,Miller High School,90,86
182,Paul White,M,9th,Miller High School,96,91
183,Damon Vang,M,10th,Miller High School,96,78
184,Samuel Archer,M,11th,Miller High School,97,77
185,Danielle Frost DDS,F,10th,Miller High School,94,76
186,Teresa Weber DDS,F,11th,Miller High School,99,87
187,Nicole Payne,F,10th,Miller High School,96,80
188,Dana Harris,F,10th,Miller High School,90,96
189,Reginald Christensen,M,10th,Miller High School,96,89
190,Jake Holland,M,10th,Miller High School,96,77
191,Crystal Anthony,F,12th,Miller High School,98,77
192,Gary Quinn,M,9th,Miller High School,96,82
193,Charles Moore,M,11th,Miller High School,94,70
194,Robert Davis,M,11th,Miller High School,94,68
195,Jennifer Peterson,F,9th,Miller High School,93,90
196,Joseph Cameron,M,9th,Miller High School,92,89
197,Michael Smith,M,10th,Miller High School,91,81
198,Karen Wallace,F,11th,Miller High School,95,96
199,Kyle Barber,M,10th,Miller High School,97,77
200,Jordan Rodriguez,M,10th,Miller High School,93,68
201,Emily Hunt,F,9th,Miller High School,91,98
202,Victoria Thomas,F,10th,Miller High School,98,75
203,Jessica Smith,F,10th,Miller High School,97,79
204,Manuel Moore,M,11th,Miller High School,91,68
205,Marissa Graham,F,11th,Miller High School,94,77
206,Terry Stone,M,12th,Miller High School,93,72
207,Scott Acosta,M,10th,Miller High School,92,91
208,Kristen Davis,F,9th,Miller High School,91,92
209,Debbie Clark,F,11th,Miller High School,90,80
210,Mr. David Petersen,M,11th,Miller High School,96,82
211,Edward Griffith,M,9th,Miller High School,93,76
212,Timothy Clarke,M,10th,Miller High School,93,77
213,Wendy Martin,F,12th,Miller High School,96,99
214,Chelsea Gross,F,10th,Miller High School,98,86
215,Sean Stein,M,9th,Miller High School,93,69
216,Marcus Tucker,M,11th,Miller High School,90,70
217,Willie Cross,M,11th,Miller High School,97,86
218,Teresa Jones,F,10th,Miller High School,99,72
219,Michelle Brown,F,10th,Miller High School,96,83
220,Daniel Graham,M,10th,Miller High School,97,98
221,Carrie Chen,F,10th,Miller High School,91,83
222,Keith Warner,M,10th,Miller High School,98,79
223,Francis Walker,M,12th,Miller High School,92,71
224,Carla Campbell,F,10th,Miller High School,90,74
225,Andrew Galvan,M,12th,Miller High School,92,96
226,David Martin,M,9th,Miller High School,94,68
227,Ashley Franco,F,12th,Miller High School,92,96
228,Laura Herrera,F,11th,Miller High School,89,96
229,Joel Reyes,M,11th,Miller High School,97,95
230,Jesus Jackson,M,12th,Miller High School,94,96
231,Cody Tyler,M,9th,Miller High School,99,96
232,Michael Lowe,M,12th,Miller High School,89,90
233,Amy Singh,F,10th,Miller High School,97,73
234,Nathaniel Ayers,M,10th,Miller High School,93,84
235,John Torres,M,12th,Miller High School,96,99
236,Ray Le,M,10th,Miller High School,90,97
237,David Taylor,M,12th,Miller High School,93,99
238,Jason Miller,M,10th,Miller High School,93,93
239,Renee Brown,F,12th,Miller High School,91,97
240,Michael Reynolds,M,10th,Miller High School,95,92
241,Christine Krueger,F,12th,Miller High School,93,89
242,Janet Hood,F,10th,Miller High School,89,72
243,Vanessa Snyder,F,11th,Miller High School,94,91
244,Travis Mccarthy,M,10th,Miller High School,91,99
245,Sarah Erickson,F,10th,Miller High School,95,79
246,Carolyn Thompson,F,11th,Miller High School,93,85
247,Kyle Holmes,M,11th,Miller High School,98,87
248,Shannon Phillips,F,11th,Miller High School,90,89
249,Dr. Annette Wilkins,F,11th,Miller High School,99,92
250,Mike Lee,M,12th,Miller High School,90,88
251,Terrence Smith,M,12th,Miller High School,91,80
252,Casey Rowe,F,9th,Miller High School,95,95
253,David Johnson,M,9th,Miller High School,97,81
254,Katherine Rush,F,9th,Miller High School,95,83
255,Benjamin Robertson,M,12th,Miller High School,92,87
256,Colin Hays,M,12th,Miller High School,94,96
257,Bryan Aguilar,M,12th,Miller High School,89,99
258,Joseph Lee,M,11th,Miller High School,94,97
259,David Walker,M,12th,Miller High School,99,70
260,Caitlin Barker,F,9th,Miller High School,97,79
261,Danielle Palmer,F,10th,Miller High School,94,94
262,Taylor Herrera,F,12th,Miller High School,99,79
263,Brian Dalton,M,10th,Miller High School,91,74
264,Jennifer Henderson,F,10th,Miller High School,91,68
265,Jessica Rogers,F,10th,Miller High School,94,84
266,Cheryl Chambers,F,11th,Miller High School,97,88
267,Ashley Ramirez,F,10th,Miller High School,99,73
268,Anthony Cruz,M,9th,Miller High School,90,89
269,John Jenkins,M,9th,Miller High School,91,81
270,Mark Schmidt,M,11th,Miller High School,95,99
271,Alisha Stevens,F,9th,Miller High School,97,72
272,Luis Bennett,M,9th,Miller High School,94,93
273,Kathleen Dawson,F,10th,Miller High School,95,72
274,Linda Rose,F,11th,Miller High School,92,92
275,Daniel Kim,M,10th,Miller High School,93,96
276,Christopher Rhodes,M,9th,Miller High School,99,94
277,Dr. Cynthia Lopez MD,F,10th,Miller High School,95,91
278,Catherine Williams,F,10th,Miller High School,95,93
279,Aaron Park,M,12th,Miller High School,90,76
280,Lauren Poole,F,10th,Miller High School,93,77
281,Thomas Smith,M,12th,Miller High School,97,99
282,Stephen Anthony,M,9th,Miller High School,99,74
283,Sharon Decker,F,9th,Miller High School,91,99
284,Renee Bond,F,9th,Miller High School,96,97
285,George Boyd,M,9th,Miller High School,99,75
286,Holly Serrano,F,12th,Miller High School,98,71
287,Russell Johnson,M,11th,Miller High School,92,94
288,Mary May,F,11th,Miller High School,92,90
289,Christopher Sullivan,M,9th,Miller High School,94,74
290,Gregory Vasquez,M,10th,Miller High School,99,71
291,Bradley Brown,M,9th,Miller High School,92,78
292,Brandon Hart,M,11th,Miller High School,89,91
293,Kathleen Luna,F,12th,Miller High School,96,69
294,Zachary Miller,M,10th,Miller High School,94,81
295,Philip Morrison,M,9th,Miller High School,93,68
296,Tracey Cummings,F,9th,Miller High School,92,85
297,Cindy Lawrence,F,11th,Miller High School,95,84
298,Kristina Parker,F,12th,Miller High School,97,76
299,Richard Moss,M,12th,Miller High School,94,93
300,Audrey Craig,F,12th,Miller High School,93,77
301,Samantha Perez,F,11th,Miller High School,98,88
302,Andrew Kennedy,M,12th,Miller High School,92,88
303,Erin Benitez,F,12th,Miller High School,89,73
304,Melissa Daniels,F,11th,Miller High School,97,97
305,Ashley Jones,F,11th,Miller High School,97,75
306,Gloria Bishop,F,12th,Miller High School,95,82
307,Elizabeth Jackson,F,11th,Miller High School,91,71
308,Rebekah Livingston,F,10th,Miller High School,95,90
309,Bridget Rivera,F,10th,Miller High School,94,88
310,Molly Walker,F,9th,Miller High School,89,80
311,Melinda Miranda,F,9th,Miller High School,90,75
312,Anna Williams,F,12th,Miller High School,89,77
313,April Flores,F,12th,Miller High School,97,92
314,Justin Morrison,M,12th,Miller High School,93,78
315,Steven Carey,M,12th,Miller High School,94,76
316,John Morris,M,9th,Miller High School,89,76
317,Shelby Pratt,F,11th,Miller High School,99,78
318,Tyler Robinson,M,10th,Miller High School,99,79
319,Megan Thomas MD,F,11th,Miller High School,99,68
320,Elizabeth Robinson,F,10th,Miller High School,99,86
321,Brandy Martin,F,9th,Miller High School,92,93
322,Nancy Brown,F,9th,Miller High School,92,88
323,Lisa Bauer,F,12th,Miller High School,97,92
324,Mary Schultz,F,11th,Miller High School,94,90
325,Lori Bennett,F,9th,Miller High School,99,98
326,Michelle Welch,F,9th,Miller High School,98,77
327,Briana Carter,F,9th,Miller High School,94,83
328,Connie Rhodes,F,10th,Miller High School,98,91
329,Eric Caldwell,M,12th,Miller High School,89,78
330,Russell Bradshaw,M,12th,Miller High School,89,73
331,Rebecca Hanson,F,9th,Miller High School,94,99
332,Edward Perez,M,9th,Miller High School,95,81
333,Mary Johnson,F,9th,Miller High School,89,89
334,Karina Thompson,F,11th,Miller High School,99,93
335,Mrs. Laurie Deleon,F,10th,Miller High School,91,85
336,Brandon Robles,M,12th,Miller High School,94,98
337,Gary Stevens,M,12th,Miller High School,96,68
338,Brent Watts,M,10th,Miller High School,93,96
339,Brianna Hubbard,F,9th,Miller High School,95,97
340,Jacob Gray,M,12th,Miller High School,93,68
341,Heather Martinez,F,10th,Miller High School,91,97
342,Morgan Morales,F,11th,Miller High School,93,85
343,Mrs. Cynthia Reeves,F,9th,Miller High School,94,96
344,William Bennett,M,10th,Miller High School,94,72
345,Robert Scott,M,9th,Miller High School,95,90
346,Joe Lopez,M,12th,Miller High School,95,82
347,Tiffany Smith,F,11th,Miller High School,95,83
348,Marie Hughes,F,11th,Miller High School,99,89
349,Anthony Horton,M,10th,Miller High School,93,81
350,Linda Gray,F,10th,Miller High School,99,99
351,Tiffany Rhodes,F,10th,Miller High School,92,74
352,Joseph Ferguson,M,10th,Miller High School,95,98
353,Juan Beck,M,12th,Miller High School,97,72
354,Samantha Smith,F,9th,Miller High School,89,91
355,Barbara Simpson,F,11th,Miller High School,90,73
356,Leslie Williams,F,10th,Miller High School,93,82
357,Brian Martinez,M,9th,Miller High School,89,68
358,Jacob Goodman,M,10th,Miller High School,95,85
359,Jason Livingston,M,12th,Miller High School,90,77
360,Kimberly Cohen,F,11th,Miller High School,90,94
361,Martin Gallagher,M,12th,Miller High School,99,74
362,David Baird,M,10th,Miller High School,94,72
363,Angela Morgan,F,10th,Miller High School,96,78
364,Tina Brock,F,11th,Miller High School,96,69
365,Helen Henry,F,10th,Miller High School,92,88
366,Jonathan Jenkins,M,9th,Miller High School,95,87
367,Miranda Fuller,F,10th,Miller High School,98,94
368,Courtney Schultz,F,12th,Miller High School,98,86
369,Bryan Perez,M,10th,Miller High School,89,75
370,George Jenkins,M,9th,Miller High School,89,77
371,Candice Davis,F,12th,Miller High School,97,68
372,Matthew Trujillo,M,10th,Miller High School,98,87
373,Albert Yoder,M,11th,Miller High School,96,97
374,Wesley Arnold,M,12th,Miller High School,89,97
375,Melissa Murphy,F,12th,Miller High School,97,80
376,Wanda Hernandez,F,12th,Miller High School,96,75
377,Meredith Carroll,F,11th,Miller High School,92,86
378,Morgan Castillo,F,12th,Miller High School,95,82
379,Daniel Arnold,M,9th,Miller High School,93,69
380,Carol Curtis,F,10th,Miller High School,94,96
381,Andrew Taylor,M,12th,Miller High School,93,76
382,Joshua Lynch,M,11th,Miller High School,93,69
383,Beverly Newton,F,10th,Miller High School,89,96
384,Timothy Caldwell,M,10th,Miller High School,99,74
385,Amy Pratt,F,10th,Miller High School,95,96
386,Richard Mcdonald,M,12th,Miller High School,96,68
387,Rebekah Hicks,F,10th,Miller High School,95,68
388,Roberto Irwin,M,12th,Miller High School,89,89
389,Douglas Martinez,M,9th,Miller High School,96,80
390,Veronica Gomez,F,9th,Miller High School,94,94
391,Jacob Smith,M,11th,Miller High School,96,74
392,Kristi Wilson,F,9th,Miller High School,92,79
393,Sarah Baird,F,11th,Miller High School,92,70
394,Brendan Hansen,M,12th,Miller High School,96,74
395,Linda Smith,F,11th,Miller High School,94,74
396,Joshua Cooper,M,11th,Miller High School,90,94
397,Joshua Jones,M,12th,Miller High School,89,75
398,John Arnold,M,10th,Miller High School,91,76
399,Alexander Rodriguez,M,10th,Miller High School,98,81
400,Christina Gray,F,9th,Miller High School,90,89
401,Debra Hawkins,F,11th,Miller High School,99,93
402,Douglas Reynolds,M,11th,Miller High School,98,98
403,Melissa King,F,9th,Miller High School,98,91
404,Crystal Jefferson,F,9th,Miller High School,98,96
405,Clifford Jones,M,9th,Miller High School,95,94
406,Jose Beard,M,10th,Miller High School,95,95
407,Craig Flores,M,10th,Miller High School,94,91
408,Nicholas Hodge,M,9th,Miller High School,94,87
409,Douglas Graves,M,12th,Miller High School,98,81
410,Sandra Jimenez,F,11th,Miller High School,94,85
411,Brittany Dillon,F,12th,Miller High School,97,94
412,Helen Reyes,F,10th,Miller High School,89,83
413,Michael Rodriguez Jr.,M,10th,Miller High School,92,81
414,Carrie Francis,F,12th,Miller High School,92,84
415,Hannah Daugherty,F,12th,Miller High School,99,82
416,April Flores,F,9th,Miller High School,95,72
417,Anthony Harvey,M,12th,Miller High School,98,68
418,Tyler Johnson,M,10th,Miller High School,90,97
419,William Blackwell,M,12th,Miller High School,89,77
420,Christina Hinton,F,9th,Miller High School,94,69
421,Matthew Glover,M,9th,Miller High School,92,75
422,Jaclyn Ramos,F,11th,Miller High School,95,73
423,Crystal Carey,F,10th,Miller High School,92,97
424,Leah Edwards,F,9th,Miller High School,98,89
425,Richard Castillo,M,10th,Miller High School,92,84
426,Michael Hart,M,9th,Miller High School,97,75
427,Curtis Spencer Jr.,M,10th,Miller High School,91,93
428,Mr. Nathan Johnson,M,12th,Miller High School,91,84
429,Maria Vasquez,F,11th,Miller High School,99,73
430,Clayton Davis,M,11th,Miller High School,98,80
431,Brianna Taylor,F,9th,Miller High School,89,68
432,Shawn Swanson,M,11th,Miller High School,90,91
433,Michael Scott,M,12th,Miller High School,93,99
434,Jessica Burke,F,11th,Miller High School,93,70
435,Lindsey Morris,F,10th,Miller High School,97,79
436,Tonya Cook,F,10th,Miller High School,98,94
437,Holly Beard,F,10th,Miller High School,98,68
438,Nicole Garrison,F,9th,Miller High School,91,99
439,Alexa Cohen,F,9th,Miller High School,99,75
440,Angela Smith,F,11th,Miller High School,96,77
441,Chris Sandoval,M,9th,Miller High School,91,69
442,Melissa Ross,F,10th,Miller High School,98,76
443,James Gilmore,M,9th,Miller High School,97,82
444,Steven Mills,M,9th,Miller High School,97,85
445,Gavin Hughes,M,12th,Miller High School,94,98
446,Samuel Ford,M,9th,Miller High School,90,74
447,Anna Carpenter,F,12th,Miller High School,90,70
448,Brian Burton,M,10th,Miller High School,92,99
449,Jennifer Myers,F,10th,Miller High School,93,95
450,Nicholas Roberson,M,10th,Miller High School,95,90
451,Melissa Clark,F,11th,Miller High School,92,75
452,Michael Fox,M,9th,Miller High School,89,74
453,Barbara Montoya,F,11th,Miller High School,99,98
454,Ashley Wong,F,10th,Miller High School,93,87
455,Tara Flores,F,12th,Miller High School,99,97
456,Charles Swanson,M,10th,Miller High School,93,98
457,Cheryl Rangel,F,9th,Miller High School,93,74
458,Mark Wright,M,10th,Miller High School,97,78
459,Tasha Harris,F,12th,Miller High School,91,93
460,Kimberly Martinez,F,10th,Miller High School,98,70
461,Madeline Jackson,F,12th,Miller High School,96,70
462,Kevin Harris,M,11th,Miller High School,89,77
463,Jennifer Hall,F,12th,Miller High School,92,74
464,Cynthia Nguyen,F,11th,Miller High School,94,83
465,Tara Armstrong,F,10th,Miller High School,96,95
466,Christine Bonilla,F,10th,Miller High School,99,78
467,Jorge Duran,M,12th,Miller High School,93,73
468,Latasha Ramos,F,10th,Miller High School,92,78
469,Dylan Humphrey,M,10th,Miller High School,90,70
470,Mrs. Caitlyn Perkins DDS,F,10th,Miller High School,94,95
471,Evelyn Griffin,F,12th,Miller High School,95,85
472,Mary Harris,F,10th,Miller High School,97,69
473,Karen Mitchell,F,12th,Miller High School,94,77
474,Erin Adams,F,12th,Miller High School,99,89
475,Cody Mann,M,12th,Miller High School,99,73
476,Michael Paul,M,10th,Miller High School,96,92
477,Lisa King,F,9th,Miller High School,93,80
478,Tracie Orozco,F,11th,Miller High School,96,81
479,Cassandra Douglas,F,9th,Miller High School,98,76
480,Stephen Joseph,M,12th,Miller High School,97,81
481,Erik Simmons,M,10th,Miller High School,93,73
482,Stephanie Hudson,F,9th,Miller High School,97,76
483,Jennifer Harris,F,10th,Miller High School,95,91
484,Rachael Baker,F,9th,Miller High School,92,79
485,Jeffrey Moore,M,10th,Miller High School,95,99
486,Tyrone Hammond,M,9th,Miller High School,92,95
487,Elizabeth Smith,F,11th,Miller High School,96,97
488,Lisa Stewart,F,9th,Miller High School,89,82
489,Dominic Obrien,M,11th,Miller High School,99,73
490,Richard Thomas,M,12th,Miller High School,93,95
491,Dr. Emily Walker,F,10th,Miller High School,93,90
492,Tristan Strickland,M,11th,Miller High School,90,72
493,Ashley Carter,F,9th,Miller High School,95,75
494,Lawrence Rosales,M,10th,Miller High School,98,74
495,John Gilbert,M,10th,Miller High School,98,88
496,Larry Simmons,M,9th,Miller High School,99,85
497,Mariah Collins,F,10th,Miller High School,98,69
498,Robert Dominguez,M,10th,Miller High School,89,80
499,Alyssa Ibarra,F,10th,Miller High School,89,94
500,Barbara Mendoza,F,11th,Miller High School,97,99
501,Charles Sampson,M,10th,Miller High School,94,75
502,Herbert Tucker,M,9th,Miller High School,93,98
503,Laura Tran,F,12th,Miller High School,98,88
504,Barbara Mckenzie,F,12th,Miller High School,94,82
505,Matthew Murphy,M,12th,Miller High School,98,78
506,Kim Walker,F,9th,Miller High School,90,81
507,David Hicks,M,12th,Miller High School,91,74
508,Ryan Cervantes,M,10th,Miller High School,96,97
509,Jeffrey Goodman,M,10th,Miller High School,91,82
510,Veronica Alvarez,F,10th,Miller High School,92,95
511,Diana Brady,F,11th,Miller High School,93,90
512,Dakota Davenport,M,12th,Miller High School,98,92
513,Gabriel Mcknight,M,11th,Miller High School,98,77
514,Daniel Weiss,M,10th,Miller High School,96,71
515,Mary Brown,F,12th,Miller High School,90,70
516,Andrew Martin,M,10th,Miller High School,98,73
517,Natasha Jordan,F,9th,Miller High School,96,75
518,Raymond Stephens,M,9th,Miller High School,94,93
519,Felicia Zimmerman,F,9th,Miller High School,97,95
520,Kathleen Kim,F,10th,Miller High School,97,86
521,Brenda Carrillo,F,9th,Miller High School,90,99
522,Thomas Estes,M,9th,Miller High School,97,68
523,Stephanie Cox,F,10th,Miller High School,97,75
524,Bridget Myers,F,9th,Miller High School,89,92
525,Cole Simpson,M,10th,Miller High School,94,74
526,Andrea Mitchell,F,11th,Miller High School,90,77
527,Tyrone Cabrera,M,12th,Miller High School,92,70
528,Debra Freeman,F,12th,Miller High School,90,79
529,Virginia Smith,F,9th,Miller High School,91,72
530,Jordan Hill,M,10th,Miller High School,92,93
531,William Olsen,M,9th,Miller High School,97,75
532,John Moran,M,10th,Miller High School,96,87
533,Julia Campbell,F,12th,Miller High School,93,71
534,Theresa Martin,F,10th,Miller High School,99,90
535,William Jones,M,11th,Miller High School,95,70
536,Joseph Smith,M,11th,Miller High School,99,82
537,Kristen Thompson,F,9th,Miller High School,94,86
538,Kelly Jimenez,F,9th,Miller High School,96,69
539,Billy Peterson,M,10th,Miller High School,95,70
540,David Daniels,M,9th,Miller High School,91,91
541,Lindsay Hamilton,F,10th,Miller High School,89,75
542,Ann Perez,F,9th,Miller High School,91,86
543,Wayne Smith,M,12th,Miller High School,97,78
544,Deanna Oconnell,F,11th,Miller High School,92,99
545,Joseph Smith,M,9th,Miller High School,96,83
546,Michael Clark,M,9th,Miller High School,99,92
